日期,累计确诊,新增确诊,累计治愈,累计死亡,国家
2020/1/20,291,93,25,6,中国
2020/1/21,440,149,25,9,中国
2020/1/22,571,131,28,17,中国
2020/1/23,830,259,34,25,中国
2020/1/24,1287,457,38,41,中国
2020/1/25,1975,688,49,56,中国
2020/1/26,2744,769,51,80,中国
2020/1/27,4515,1771,60,106,中国
2020/1/28,5974,1459,103,132,中国
2020/1/28,7,0,1,0,日本
2020/1/29,7711,1737,124,170,中国
2020/1/29,8,1,1,0,日本
2020/1/30,9692,1981,171,213,中国
2020/1/30,1,0,0,0,印度
2020/1/30,13,5,1,0,日本
2020/1/31,11821,2129,243,259,中国
2020/1/31,1,0,0,0,印度
2020/1/31,2,0,0,0,俄罗斯
2020/1/31,17,4,1,0,日本
2020/2/1,14380,2559,328,304,中国
2020/2/1,1,0,0,0,印度
2020/2/1,2,0,0,0,俄罗斯
2020/2/1,20,3,1,0,日本
2020/2/2,2,0,0,0,意大利
2020/2/2,0,0,0,0,伊朗
2020/2/2,2,0,0,0,西班牙
2020/2/2,10,3,0,0,德国
2020/2/2,8,1,0,0,美国
2020/2/2,17205,2825,475,361,中国
2020/2/2,15,3,0,0,韩国
2020/2/2,2,1,0,0,印度
2020/2/2,2,0,0,0,俄罗斯
2020/2/2,20,0,1,0,日本
2020/2/3,2,0,0,0,意大利
2020/2/3,0,0,0,0,伊朗
2020/2/3,2,0,0,0,西班牙
2020/2/3,10,0,0,0,德国
2020/2/3,11,3,0,0,美国
2020/2/3,15,0,0,0,韩国
2020/2/3,20438,2930,632,425,中国
2020/2/3,3,1,0,0,印度
2020/2/3,2,0,0,0,俄罗斯
2020/2/3,20,0,1,0,日本
2020/2/4,2,0,0,0,意大利
2020/2/4,0,0,0,0,伊朗
2020/2/4,2,0,0,0,西班牙
2020/2/4,12,2,0,0,德国
2020/2/4,11,0,1,0,美国
2020/2/4,16,1,0,0,韩国
2020/2/4,24324,3294,892,490,中国
2020/2/4,3,0,0,0,印度
2020/2/4,2,0,0,0,俄罗斯
2020/2/4,22,2,1,0,日本
2020/2/5,2,0,0,0,意大利
2020/2/5,0,0,0,0,伊朗
2020/2/5,2,0,0,0,西班牙
2020/2/5,12,0,0,0,德国
2020/2/5,11,0,1,0,美国
2020/2/5,19,3,1,0,韩国
2020/2/5,28018,3694,1153,563,中国
2020/2/5,3,0,0,0,印度
2020/2/5,2,0,0,0,俄罗斯
2020/2/5,24,2,1,0,日本
2020/2/6,2,0,0,0,意大利
2020/2/6,0,0,0,0,伊朗
2020/2/6,2,0,0,0,西班牙
2020/2/6,12,0,0,0,德国
2020/2/6,12,1,1,0,美国
2020/2/6,23,4,1,0,韩国
2020/2/6,31161,3143,1540,636,中国
2020/2/6,3,0,0,0,印度
2020/2/6,2,0,0,0,俄罗斯
2020/2/6,25,1,1,0,日本
2020/2/7,3,1,0,0,意大利
2020/2/7,0,0,0,0,伊朗
2020/2/7,2,0,0,0,西班牙
2020/2/7,13,1,0,0,德国
2020/2/7,12,0,1,0,美国
2020/2/7,24,1,2,0,韩国
2020/2/7,34546,3399,2049,722,中国
2020/2/7,3,0,0,0,印度
2020/2/7,2,0,0,0,俄罗斯
2020/2/7,25,0,1,0,日本
2020/2/8,3,0,0,0,意大利
2020/2/8,0,0,0,0,伊朗
2020/2/8,2,0,0,0,西班牙
2020/2/8,13,0,0,0,德国
2020/2/8,12,0,1,0,美国
2020/2/8,24,0,2,0,韩国
2020/2/8,37198,2656,2649,811,中国
2020/2/8,3,0,0,0,印度
2020/2/8,2,0,0,0,俄罗斯
2020/2/8,25,0,1,0,日本
2020/2/9,3,0,0,0,意大利
2020/2/9,0,0,0,0,伊朗
2020/2/9,2,0,0,0,西班牙
2020/2/9,14,1,0,0,德国
2020/2/9,12,0,1,0,美国
2020/2/9,27,3,3,0,韩国
2020/2/9,40171,3062,3281,908,中国
2020/2/9,3,0,0,0,印度
2020/2/9,2,0,0,0,俄罗斯
2020/2/9,25,0,1,0,日本
2020/2/10,3,0,0,0,意大利
2020/2/10,0,0,0,0,伊朗
2020/2/10,2,0,0,0,西班牙
2020/2/10,14,0,0,0,德国
2020/2/10,12,0,1,0,美国
2020/2/10,27,0,3,0,韩国
2020/2/10,42638,2478,3996,1016,中国
2020/2/10,3,0,0,0,印度
2020/2/10,2,0,0,0,俄罗斯
2020/2/10,26,1,1,0,日本
2020/2/11,3,0,0,0,意大利
2020/2/11,0,0,0,0,伊朗
2020/2/11,2,0,0,0,西班牙
2020/2/11,14,0,0,0,德国
2020/2/11,13,1,1,0,美国
2020/2/11,28,1,9,0,韩国
2020/2/11,44653,2015,4740,1113,中国
2020/2/11,3,0,0,0,印度
2020/2/11,2,0,0,0,俄罗斯
2020/2/11,26,0,1,0,日本
2020/2/12,3,0,0,0,意大利
2020/2/12,0,0,0,0,伊朗
2020/2/12,2,0,0,0,西班牙
2020/2/12,16,2,0,0,德国
2020/2/12,13,0,3,0,美国
2020/2/12,28,0,9,0,韩国
2020/2/12,59804,15152,5642,1367,中国
2020/2/12,3,0,0,0,印度
2020/2/12,2,0,0,0,俄罗斯
2020/2/12,29,3,1,0,日本
