,,date,real,predict,real,predict,real,predict
14.275129,,2020/9/25,8.85292,13.74,34.95,24.435526,1630,625.3563
17.538263,,2020/9/28,8.784031,13.61,34.68,23.82887,1635.19,601.7007
16.278488,,2020/9/29,8.604907,13.88,35.18,22.788658,1669.33,574.97284
16.958414,,2020/9/30,8.754761,13.78,35.35,22.996443,1660,552.6159
17.162237,,2020/10/9,9.055689,14.48,35.95,23.418348,1692,541.01184
16.467936,,2020/10/12,9.230577,15.14,36.52,23.375555,1700,541.7406
16.015133,,2020/10/13,9.077062,14.93,36.2,23.13942,1750.62,550.1402
15.574619,,2020/10/14,8.914816,15.01,36.04,22.491863,1740,560.0981
15.434912,,2020/10/15,8.791408,14.84,35.1,23.56139,1721.13,567.9023
14.705605,,2020/10/16,8.748374,14.72,34.8,25.159464,1725,571.74023
14.797426,,2020/10/19,8.875924,14.73,35.76,25.741554,1725,570.7911
14.16706,,2020/10/20,9.161722,14.8,34.14,25.278822,1699.99,565.65216
14.31195,,2020/10/21,9.365237,14.32,33.13,26.239157,1734.1,559.9236
14.746061,,2020/10/22,9.574349,14.14,32.46,26.392385,1730,555.3851
14.5787115,,2020/10/23,9.71315,14.02,32.27,26.2299,1740.78,552.71155
14.290508,,2020/10/26,9.6964655,14.38,32.35,25.875542,1619,551.6826
14.296922,,2020/10/27,9.617927,14.28,32.56,25.957949,1643,552.0323
14.222309,,2020/10/28,9.446535,14.37,32.57,26.371857,1626,552.4308
13.475127,,2020/10/29,9.291218,14.54,31.91,26.392113,1654.84,552.86975
12.876425,,2020/10/30,9.299491,14.09,32.32,26.67024,1678,553.39075
12.439806,,,,,,,,
12.488539,,,,,,,,
12.394631,,,,,,,,
12.50606,,,,,,,,
12.794356,,,,,,,,
13.400033,,,,,,,,
13.156931,,,,,,,,
13.153611,,,,,,,,
13.433292,,,,,,,,
13.614925,,,,,,,,
13.471192,,,,,,,,
13.578621,,,,,,,,
13.90036,,,,,,,,
13.773508,,,,,,,,
13.874024,,,,,,,,
13.424629,,,,,,,,
13.053047,,,,,,,,
12.426336,,,,,,,,
12.170382,,,,,,,,
12.451969,,,,,,,,
12.670425,,,,,,,,
12.61626,,,,,,,,
12.622504,,,,,,,,
12.468114,,,,,,,,
12.408266,,,,,,,,
12.23116,,,,,,,,
12.168359,,,,,,,,
12.290611,,,,,,,,
12.4395,,,,,,,,
12.448458,,,,,,,,
12.604033,,,,,,,,
13.152561,,,,,,,,
13.506829,,,,,,,,
13.514716,,,,,,,,
13.693894,,,,,,,,
13.555629,,,,,,,,
13.602981,,,,,,,,
13.498825,,,,,,,,
13.281918,,,,,,,,
13.572571,,,,,,,,
13.840693,,,,,,,,
14.328102,,,,,,,,
14.690136,,,,,,,,
14.906484,,,,,,,,
14.7330475,,,,,,,,
14.926021,,,,,,,,
15.172321,,,,,,,,
15.04741,,,,,,,,
15.0288925,,,,,,,,
15.00609,,,,,,,,
14.890394,,,,,,,,
14.733456,,,,,,,,
14.718071,,,,,,,,
14.208363,,,,,,,,
13.8658285,,,,,,,,
14.201772,,,,,,,,
14.312007,,,,,,,,
14.773269,,,,,,,,
15.006701,,,,,,,,
15.123285,,,,,,,,
14.92917,,,,,,,,
15.497904,,,,,,,,
15.59187,,,,,,,,
15.650256,,,,,,,,
14.829417,,,,,,,,
14.261609,,,,,,,,
14.29307,,,,,,,,
14.042996,,,,,,,,
14.190383,,,,,,,,
14.100593,,,,,,,,
14.260148,,,,,,,,
14.098237,,,,,,,,
13.742458,,,,,,,,
13.48867,,,,,,,,
13.635475,,,,,,,,
13.758578,,,,,,,,
13.719079,,,,,,,,
13.575007,,,,,,,,
13.515062,,,,,,,,
13.454799,,,,,,,,
13.424943,,,,,,,,
13.79885,,,,,,,,
14.008675,,,,,,,,
14.134426,,,,,,,,
14.53968,,,,,,,,
14.598278,,,,,,,,
14.756753,,,,,,,,
14.522298,,,,,,,,
13.985999,,,,,,,,
13.783296,,,,,,,,
14.332393,,,,,,,,
14.924169,,,,,,,,
14.973777,,,,,,,,
15.2137985,,,,,,,,
14.822976,,,,,,,,
14.871091,,,,,,,,
14.906804,,,,,,,,
14.66487,,,,,,,,
14.799646,,,,,,,,
15.0458355,,,,,,,,
15.055548,,,,,,,,
15.005048,,,,,,,,
14.886234,,,,,,,,
15.083133,,,,,,,,
15.135007,,,,,,,,
15.080606,,,,,,,,
15.153017,,,,,,,,
15.40039,,,,,,,,
15.391656,,,,,,,,
15.6464615,,,,,,,,
15.66073,,,,,,,,
15.765476,,,,,,,,
15.666708,,,,,,,,
15.621904,,,,,,,,
15.563793,,,,,,,,
15.564221,,,,,,,,
15.523357,,,,,,,,
15.46964,,,,,,,,
15.584507,,,,,,,,
15.746591,,,,,,,,
15.240802,,,,,,,,
15.221195,,,,,,,,
15.336343,,,,,,,,
14.911296,,,,,,,,
14.805316,,,,,,,,
14.649793,,,,,,,,
14.686779,,,,,,,,
14.649921,,,,,,,,
14.813443,,,,,,,,
14.909054,,,,,,,,
14.930567,,,,,,,,
14.69631,,,,,,,,
14.797904,,,,,,,,
15.100877,,,,,,,,
15.199641,,,,,,,,
15.292587,,,,,,,,
15.336394,,,,,,,,
15.383709,,,,,,,,
15.185601,,,,,,,,
15.239826,,,,,,,,
15.251899,,,,,,,,
14.981552,,,,,,,,
14.850553,,,,,,,,
14.905448,,,,,,,,
14.869628,,,,,,,,
14.830376,,,,,,,,
14.724375,,,,,,,,
14.726551,,,,,,,,
14.745991,,,,,,,,
14.826399,,,,,,,,
14.851594,,,,,,,,
14.854535,,,,,,,,
14.584778,,,,,,,,
14.301067,,,,,,,,
14.16765,,,,,,,,
14.137982,,,,,,,,
14.176882,,,,,,,,
14.147407,,,,,,,,
14.191554,,,,,,,,
14.285276,,,,,,,,
14.236597,,,,,,,,
14.064114,,,,,,,,
14.074803,,,,,,,,
14.104043,,,,,,,,
14.127129,,,,,,,,
14.238623,,,,,,,,
14.49608,,,,,,,,
15.412362,,,,,,,,
15.811192,,,,,,,,
15.895216,,,,,,,,
15.934676,,,,,,,,
15.970308,,,,,,,,
16.34213,,,,,,,,
16.07697,,,,,,,,
16.169807,,,,,,,,
15.9802,,,,,,,,
16.113922,,,,,,,,
16.004786,,,,,,,,
16.032518,,,,,,,,
15.875158,,,,,,,,
16.209904,,,,,,,,
16.704697,,,,,,,,
16.696615,,,,,,,,
16.52275,,,,,,,,
16.714085,,,,,,,,
16.548573,,,,,,,,
16.495018,,,,,,,,
16.442293,,,,,,,,
16.620909,,,,,,,,
16.531446,,,,,,,,
16.627981,,,,,,,,
16.538464,,,,,,,,
16.55641,,,,,,,,
16.510843,,,,,,,,
16.70928,,,,,,,,
17.150656,,,,,,,,
16.963457,,,,,,,,
17.031738,,,,,,,,
16.791101,,,,,,,,
16.626022,,,,,,,,
16.347971,,,,,,,,
16.22691,,,,,,,,
16.344185,,,,,,,,
16.276314,,,,,,,,
16.22551,,,,,,,,
16.162098,,,,,,,,
16.14823,,,,,,,,
16.30677,,,,,,,,
16.77882,,,,,,,,
16.731262,,,,,,,,
16.760046,,,,,,,,
16.290348,,,,,,,,
16.386246,,,,,,,,
16.716036,,,,,,,,
17.205284,,,,,,,,
16.955734,,,,,,,,
17.280766,,,,,,,,
17.194607,,,,,,,,
17.393028,,,,,,,,
17.313484,,,,,,,,
17.180426,,,,,,,,
17.143536,,,,,,,,
17.20727,,,,,,,,
17.537533,,,,,,,,
17.403444,,,,,,,,
17.306055,,,,,,,,
17.716827,,,,,,,,
17.804733,,,,,,,,
17.867462,,,,,,,,
18.063972,,,,,,,,
18.526442,,,,,,,,
