1659.5018,,,date,real,predict
1498.6729,,,2020/9/25,1630,625.3563
1266.1182,,,2020/9/28,1635.19,601.7007
1017.4694,,,2020/9/29,1669.33,574.97284
786.4187,,,2020/9/30,1660,552.6159
593.5955,,,2020/10/9,1692,541.01184
449.15286,,,2020/10/12,1700,541.7406
353.91754,,,2020/10/13,1750.62,550.1402
300.96237,,,2020/10/14,1740,560.0981
278.5577,,,2020/10/15,1721.13,567.9023
274.37918,,,2020/10/16,1725,571.74023
277.79303,,,2020/10/19,1725,570.7911
281.82535,,,2020/10/20,1699.99,565.65216
283.31854,,,2020/10/21,1734.1,559.9236
281.27942,,,2020/10/22,1730,555.3851
276.2067,,,2020/10/23,1740.78,552.71155
269.1963,,,2020/10/26,1619,551.6826
261.2687,,,2020/10/27,1643,552.0323
253.1776,,,2020/10/28,1626,552.4308
245.41478,,,2020/10/29,1654.84,552.86975
238.14255,,,2020/10/30,1678,553.39075
231.61841,,,,,
225.93797,,,,,
221.04445,,,,,
216.87656,,,,,
213.29622,,,,,
209.89012,,,,,
206.42113,,,,,
203.01782,,,,,
199.83748,,,,,
196.9074,,,,,
194.43283,,,,,
192.59943,,,,,
191.60074,,,,,
191.67522,,,,,
192.41762,,,,,
193.56859,,,,,
194.72343,,,,,
195.71059,,,,,
196.7443,,,,,
198.01486,,,,,
200.01651,,,,,
202.56036,,,,,
204.86227,,,,,
206.45029,,,,,
207.10803,,,,,
207.13254,,,,,
206.6151,,,,,
205.95142,,,,,
205.45564,,,,,
205.35211,,,,,
205.40845,,,,,
205.65681,,,,,
206.26215,,,,,
207.21579,,,,,
208.72021,,,,,
210.84575,,,,,
213.58751,,,,,
216.62575,,,,,
219.56313,,,,,
222.01526,,,,,
223.46535,,,,,
223.93173,,,,,
224.23186,,,,,
224.69827,,,,,
225.26009,,,,,
225.43188,,,,,
225.05937,,,,,
224.12508,,,,,
222.82553,,,,,
221.45265,,,,,
220.3423,,,,,
219.60701,,,,,
219.09283,,,,,
218.68405,,,,,
218.63219,,,,,
218.95702,,,,,
219.50453,,,,,
220.15987,,,,,
220.89604,,,,,
221.81473,,,,,
223.36436,,,,,
225.44386,,,,,
227.71033,,,,,
229.44197,,,,,
230.20642,,,,,
230.15413,,,,,
229.72098,,,,,
229.36633,,,,,
229.06876,,,,,
228.73727,,,,,
228.25055,,,,,
227.4133,,,,,
226.31747,,,,,
225.31645,,,,,
224.89223,,,,,
225.21013,,,,,
225.99564,,,,,
226.9301,,,,,
227.71416,,,,,
228.41544,,,,,
229.5783,,,,,
231.27919,,,,,
233.4526,,,,,
236.57347,,,,,
240.33037,,,,,
244.06682,,,,,
247.05022,,,,,
248.62868,,,,,
248.86627,,,,,
248.40544,,,,,
247.76906,,,,,
247.5632,,,,,
247.88293,,,,,
248.38422,,,,,
249.06824,,,,,
249.69417,,,,,
250.06248,,,,,
250.7265,,,,,
252.02617,,,,,
253.99843,,,,,
256.52704,,,,,
259.26047,,,,,
262.21066,,,,,
265.4932,,,,,
269.77402,,,,,
274.8967,,,,,
279.90628,,,,,
284.30368,,,,,
288.2133,,,,,
291.30777,,,,,
293.39984,,,,,
294.5508,,,,,
294.8677,,,,,
294.2072,,,,,
292.79474,,,,,
291.20328,,,,,
289.6203,,,,,
288.2325,,,,,
287.754,,,,,
288.03992,,,,,
288.84708,,,,,
289.78314,,,,,
290.25104,,,,,
289.99997,,,,,
289.14566,,,,,
287.9748,,,,,
286.77634,,,,,
285.87433,,,,,
285.78815,,,,,
286.59833,,,,,
288.18356,,,,,
290.1075,,,,,
292.2555,,,,,
293.7928,,,,,
294.1478,,,,,
293.22964,,,,,
291.42975,,,,,
289.37827,,,,,
287.5725,,,,,
286.17853,,,,,
285.09808,,,,,
284.4894,,,,,
284.35745,,,,,
284.56226,,,,,
285.0862,,,,,
285.7547,,,,,
286.28864,,,,,
286.65787,,,,,
286.97183,,,,,
287.06174,,,,,
286.9151,,,,,
286.36978,,,,,
285.3292,,,,,
283.93555,,,,,
282.45316,,,,,
281.17026,,,,,
279.9575,,,,,
278.69003,,,,,
277.53833,,,,,
276.6776,,,,,
275.7507,,,,,
274.70755,,,,,
273.4643,,,,,
272.19635,,,,,
271.55685,,,,,
272.1363,,,,,
274.1467,,,,,
277.104,,,,,
280.0939,,,,,
282.52963,,,,,
284.01645,,,,,
284.83615,,,,,
285.2825,,,,,
285.42285,,,,,
285.1734,,,,,
284.8194,,,,,
284.9054,,,,,
285.63458,,,,,
287.09778,,,,,
289.15536,,,,,
291.39227,,,,,
293.29123,,,,,
294.49493,,,,,
294.99997,,,,,
294.93903,,,,,
294.60666,,,,,
294.43933,,,,,
294.59695,,,,,
294.96536,,,,,
295.24554,,,,,
294.97302,,,,,
294.24048,,,,,
293.24774,,,,,
292.17245,,,,,
291.1707,,,,,
290.3192,,,,,
289.69647,,,,,
289.44693,,,,,
289.7921,,,,,
290.73145,,,,,
292.21002,,,,,
294.01895,,,,,
295.78745,,,,,
297.27103,,,,,
298.2568,,,,,
298.5404,,,,,
298.75116,,,,,
299.39215,,,,,
301.0425,,,,,
303.7024,,,,,
306.2868,,,,,
308.29123,,,,,
309.56964,,,,,
309.89954,,,,,
309.29712,,,,,
308.05872,,,,,
306.63382,,,,,
305.44727,,,,,
304.473,,,,,
303.38583,,,,,
302.3674,,,,,
301.7788,,,,,
301.60104,,,,,
301.819,,,,,
302.74918,,,,,
304.4122,,,,,
307.35083,,,,,
311.28088,,,,,
315.5219,,,,,
319.39908,,,,,
322.42026,,,,,
324.3151,,,,,
325.157,,,,,
325.06702,,,,,
324.23807,,,,,
323.33606,,,,,
323.17026,,,,,
323.98822,,,,,
325.64896,,,,,
327.41766,,,,,
328.64432,,,,,
328.99088,,,,,
328.41428,,,,,
327.32742,,,,,
326.0953,,,,,
324.8181,,,,,
323.65564,,,,,
322.94366,,,,,
322.56177,,,,,
322.6299,,,,,
323.25906,,,,,
324.17105,,,,,
325.07187,,,,,
325.85764,,,,,
327.13467,,,,,
329.05872,,,,,
331.37692,,,,,
333.73007,,,,,
335.80908,,,,,
337.1035,,,,,
337.33054,,,,,
336.71725,,,,,
335.58902,,,,,
334.44598,,,,,
333.64786,,,,,
333.82425,,,,,
335.08392,,,,,
337.2292,,,,,
339.79355,,,,,
342.3462,,,,,
344.42252,,,,,
346.18405,,,,,
347.58237,,,,,
348.97537,,,,,
350.8687,,,,,
353.52374,,,,,
356.76807,,,,,
360.12592,,,,,
362.72144,,,,,
363.7429,,,,,
363.19156,,,,,
361.71927,,,,,
360.22574,,,,,
359.24106,,,,,
359.09042,,,,,
359.94693,,,,,
361.64563,,,,,
363.40808,,,,,
364.48715,,,,,
364.9581,,,,,
365.6151,,,,,
366.37653,,,,,
367.19135,,,,,
368.4785,,,,,
370.5103,,,,,
373.6169,,,,,
376.6626,,,,,
378.93988,,,,,
381.07336,,,,,
383.27835,,,,,
385.80804,,,,,
387.92795,,,,,
389.05795,,,,,
389.34064,,,,,
389.23846,,,,,
389.11365,,,,,
388.43427,,,,,
387.21747,,,,,
385.77637,,,,,
384.7584,,,,,
384.46353,,,,,
385.21185,,,,,
387.437,,,,,
390.63803,,,,,
394.26352,,,,,
398.29974,,,,,
402.6705,,,,,
407.62048,,,,,
412.59213,,,,,
416.9885,,,,,
420.32794,,,,,
421.97626,,,,,
422.38052,,,,,
422.0746,,,,,
421.31564,,,,,
420.5941,,,,,
420.9734,,,,,
422.93945,,,,,
426.28577,,,,,
430.6367,,,,,
435.24692,,,,,
439.48553,,,,,
442.0347,,,,,
442.4639,,,,,
441.90945,,,,,
441.20193,,,,,
440.97467,,,,,
441.38358,,,,,
442.25815,,,,,
443.929,,,,,
446.41223,,,,,
448.80157,,,,,
450.09964,,,,,
