date,open,High,Low,Close,Adj Close,Volume
2014/11/3,41.16,41.450001,40.720001,40.959999,40.959999,4294700
2014/11/4,40.75,41,40.400002,40.639999,40.639999,4099400
2014/11/5,40.919998,41.080002,40.18,40.73,40.73,2691900
2014/11/6,40.77,41.139999,40.720001,40.799999,40.799999,2099100
2014/11/7,40.740002,41,40.110001,40.939999,40.939999,3717600
2014/11/10,40.98,41.43,40.610001,41.259998,41.259998,4467300
2014/11/11,41.290001,41.419998,41.02,41.139999,41.139999,2150700
2014/11/12,41.060001,41.279999,40.580002,41.200001,41.200001,2827700
2014/11/13,41.34,41.720001,41.07,41.450001,41.450001,3780900
2014/11/14,41.5,41.639999,40.869999,41.470001,41.470001,3687600
2014/11/17,41.400002,41.950001,41.200001,41.400002,41.400002,2293300
2014/11/18,41.82,42.889999,41.720001,42.869999,42.869999,4571800
2014/11/19,42.869999,43.73,42.349998,43.450001,43.450001,6215300
2014/11/20,43.259998,43.48,43.07,43.150002,43.150002,5915400
2014/11/21,43.669998,44.060001,43.25,43.5,43.5,3328500
2014/11/24,43.560001,43.790001,43.389999,43.599998,43.599998,3128100
2014/11/25,43.619999,44.5,43.57,44.009998,44.009998,4211900
2014/11/26,43.93,43.970001,43.52,43.68,43.68,3562700
2014/11/28,44.09,44.189999,43.560001,43.93,43.93,2135100
2014/12/1,43.759998,43.860001,43.040001,43.150002,43.150002,3683500
2014/12/2,43.209999,43.84,43.130001,43.630001,43.630001,2944100
2014/12/3,43.439999,46.23,43.439999,45.990002,45.990002,7562700
2014/12/4,45.799999,46.98,45.48,46.490002,46.490002,6607800
2014/12/5,46.52,47.130001,46.16,46.66,46.66,3777700
2014/12/8,46.439999,46.57,45.689999,46.009998,46.009998,4087600
2014/12/9,45.560001,45.860001,44.950001,45.580002,45.580002,5206400
2014/12/10,45.529999,45.939999,44.560001,44.759998,44.759998,4254300
2014/12/11,44.830002,45.73,44.82,45.119999,45.119999,2814300
2014/12/12,44.73,45.790001,44.540001,44.900002,44.900002,3546400
2014/12/15,45,46.389999,44.93,45.450001,45.450001,5530700
2014/12/16,45.23,46.18,44.869999,45.450001,45.450001,5673300
2014/12/17,45.5,46.5,45.220001,46.060001,46.060001,5668100
2014/12/18,46.169998,47.259998,46.169998,47.240002,47.240002,6805100
2014/12/19,47.5,47.689999,47.060001,47.459999,47.459999,9988300
2014/12/22,47.68,48.360001,47.490002,47.849998,47.849998,3072000
2014/12/23,47.98,48.34,47.41,47.84,47.84,2993000
2014/12/24,47.959999,48.310001,47.860001,48.060001,48.060001,844900
2014/12/26,48.080002,48.529999,47.779999,48.330002,48.330002,1161700
2014/12/29,48.330002,48.52,47.52,47.59,47.59,1750300
2014/12/30,47.619999,47.799999,47.25,47.380001,47.380001,1796100
2014/12/31,47.5,47.950001,46.970001,47.02,47.02,1842300
2015/1/2,47.189999,47.669998,46.580002,46.869999,46.869999,1959800
2015/1/5,46.959999,47.34,46.52,46.57,46.57,2727600
2015/1/6,46.869999,47.330002,45.419998,45.959999,45.959999,4418900
2015/1/7,46.27,47.029999,46.099998,46.810001,46.810001,4849400
2015/1/8,47.009998,48.25,47.009998,48.130001,48.130001,3877000
2015/1/9,48.049999,48.25,47.07,47.509998,47.509998,3181400
2015/1/12,47.549999,47.619999,46.509998,47.060001,47.060001,2158300
2015/1/13,47.59,48.18,46.02,46.419998,46.419998,3287300
2015/1/14,45.52,46.950001,45.209999,46.900002,46.900002,3100400
2015/1/15,46.93,46.990002,45.990002,46.639999,46.639999,3073500
2015/1/16,46.669998,48.16,46.259998,48.09,48.09,3220000
2015/1/20,48.240002,48.59,47.509998,47.810001,47.810001,4049400
2015/1/21,47.709999,48.490002,47.290001,48.07,48.07,4209300
2015/1/22,48.34,49.400002,47.919998,49.360001,49.360001,3478700
2015/1/23,49.43,50.41,49.330002,49.790001,49.790001,5258600
2015/1/26,49.299999,49.790001,48.790001,49.48,49.48,4310900
2015/1/27,48.799999,49.169998,48.220001,48.41,48.41,5998000
2015/1/28,51.860001,55.169998,51.220001,54.610001,54.610001,16170000
2015/1/29,54.43,55.580002,53.880001,55.330002,55.330002,8256700
2015/1/30,55,55.799999,54.470001,54.860001,54.860001,5048600
2015/2/2,55.029999,55.110001,53.549999,54.970001,54.970001,5238900
2015/2/3,55.040001,55.25,53.970001,54.52,54.52,4349100
2015/2/4,54.540001,55.279999,54.040001,54.560001,54.560001,3670300
2015/2/5,54.73,56.700001,54.610001,56.389999,56.389999,4959300
2015/2/6,56.279999,56.950001,54.799999,55.139999,55.139999,4833600
2015/2/9,54.700001,55,54.080002,54.279999,54.279999,3216000
2015/2/10,54.470001,55.080002,53.860001,54.759998,54.759998,3769500
2015/2/11,54.869999,55.279999,54.52,54.950001,54.950001,2193000
2015/2/12,55.290001,56.639999,55.220001,56.200001,56.200001,3783200
2015/2/13,56.349998,56.91,55.639999,56.389999,56.389999,2907200
2015/2/17,56.459999,56.900002,55.939999,56.759998,56.759998,3174000
2015/2/18,56.580002,57.619999,56.52,57.610001,57.610001,3469500
2015/2/19,57.610001,57.700001,57.080002,57.139999,57.139999,3000800
2015/2/20,57.139999,57.720001,56.669998,57.669998,57.669998,2284400
2015/2/23,57.830002,57.900002,57.200001,57.549999,57.549999,1833400
2015/2/24,57.400002,57.810001,57.139999,57.630001,57.630001,3351900
2015/2/25,57.650002,57.84,57.009998,57.389999,57.389999,2556900
2015/2/26,57.490002,58.869999,57.360001,57.73,57.73,2751300
2015/2/27,56.810001,57.759998,56.549999,57.18,57.18,2955000
2015/3/2,57.18,57.799999,56.990002,57.450001,57.450001,1606700
2015/3/3,57.25,57.360001,56.330002,56.669998,56.669998,1980900
2015/3/4,56.48,57.209999,56.220001,57.200001,57.200001,2631100
2015/3/5,57.189999,57.830002,57.009998,57.380001,57.380001,1998700
2015/3/6,57.220001,57.220001,56.169998,56.360001,56.360001,1769400
2015/3/9,56.389999,56.919998,56.25,56.669998,56.669998,2344000
2015/3/10,55.380001,56,54.509998,55.049999,55.049999,4566900
2015/3/11,54.799999,56.130001,54.75,55.09,55.09,2814500
2015/3/12,55.490002,55.490002,54.790001,55.060001,55.060001,2891200
2015/3/13,55.049999,56.369999,54.849998,55.299999,55.299999,3546400
2015/3/16,55.619999,56.459999,55.509998,55.82,55.82,2821000
2015/3/17,55.259998,55.41,54.029999,54.169998,54.169998,4692900
2015/3/18,54.23,55.790001,54.02,55.630001,55.630001,7023000
