nan,,,date,real,predict
nan,,,2019/9/16,70.010002,63.08221
nan,,,2019/9/17,70.169998,62.93754
nan,,,2019/9/18,70.110001,62.797176
nan,,,2019/9/19,70.269997,62.99644
nan,,,2019/9/20,70.32,63.524635
nan,,,2019/9/23,70.410004,64.04814
nan,,,2019/9/24,19.32,64.57237
nan,,,2019/9/25,19.49,64.9573
nan,,,2019/9/26,19.52,65.29699
nan,,,2019/9/27,19.68,65.60717
nan,,,2019/9/30,19.530001,65.82308
nan,,,2019/10/1,19.4,65.805756
nan,,,2019/10/2,19.559999,65.514084
nan,,,2019/10/3,19.629999,65.374886
nan,,,2019/10/4,19.629999,64.87583
nan,,,2019/10/7,null,64.32285
nan,,,2019/10/8,19.629999,64.22577
nan,,,2019/10/9,19.629999,64.40735
nan,,,2019/10/10,19.629999,64.91048
nan,,,2019/10/11,19.629999,65.578995
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
nan,,,,,
47.32468,,,,,
48.135418,,,,,
48.73595,,,,,
49.09559,,,,,
48.21779,,,,,
46.528873,,,,,
44.898293,,,,,
43.940872,,,,,
43.715893,,,,,
43.86388,,,,,
43.995804,,,,,
43.836365,,,,,
43.480587,,,,,
43.144558,,,,,
42.928207,,,,,
42.98187,,,,,
43.285706,,,,,
43.558353,,,,,
43.665623,,,,,
43.71373,,,,,
43.727173,,,,,
43.642006,,,,,
43.44882,,,,,
43.414948,,,,,
43.57161,,,,,
43.77012,,,,,
43.850872,,,,,
43.571075,,,,,
43.314125,,,,,
43.25922,,,,,
43.328735,,,,,
43.27345,,,,,
43.081314,,,,,
42.83709,,,,,
42.648743,,,,,
42.571754,,,,,
42.67305,,,,,
42.900524,,,,,
43.331596,,,,,
43.930416,,,,,
44.495872,,,,,
44.777138,,,,,
44.749805,,,,,
44.431126,,,,,
44.19434,,,,,
44.22082,,,,,
44.375614,,,,,
44.464714,,,,,
44.406483,,,,,
44.191715,,,,,
43.912212,,,,,
43.681553,,,,,
43.819756,,,,,
44.308388,,,,,
44.81505,,,,,
45.049965,,,,,
45.08943,,,,,
45.105736,,,,,
45.086067,,,,,
44.94408,,,,,
44.781082,,,,,
44.59572,,,,,
44.324852,,,,,
43.994526,,,,,
43.82601,,,,,
43.829807,,,,,
43.860275,,,,,
43.73423,,,,,
43.389843,,,,,
42.941936,,,,,
42.45805,,,,,
41.96566,,,,,
42.022804,,,,,
42.598,,,,,
43.26701,,,,,
43.780125,,,,,
44.011448,,,,,
44.0723,,,,,
44.13843,,,,,
44.189457,,,,,
44.18231,,,,,
43.832302,,,,,
43.328438,,,,,
42.97404,,,,,
42.857906,,,,,
42.81233,,,,,
42.80492,,,,,
42.87826,,,,,
42.95534,,,,,
43.002277,,,,,
43.029106,,,,,
43.013992,,,,,
42.926353,,,,,
42.778454,,,,,
42.513756,,,,,
42.160313,,,,,
41.868122,,,,,
41.548046,,,,,
41.138016,,,,,
40.721775,,,,,
40.45471,,,,,
40.412113,,,,,
40.52215,,,,,
40.64455,,,,,
40.711372,,,,,
40.707443,,,,,
40.708336,,,,,
40.71173,,,,,
40.541504,,,,,
