1784.7021,,,,,
1626.8169,,,date,real,predict
1375.5132,,,2019/10/4,1726.02002,1006.88855
1096.4705,,,2019/10/7,1731.630005,1006.3496
830.3624,,,2019/10/8,1722.48999,1006.4799
606.10657,,,2019/10/9,1719.609985,1004.92816
442.5304,,,2019/10/10,1725.23999,1002.55133
347.51663,,,2019/10/11,1742.920044,1001.4934
317.1831,,,2019/10/14,1728.910034,1002.1511
337.164,,,2019/10/15,1742.140015,1003.61316
387.1019,,,2019/10/16,1773.329956,1003.5817
446.7174,,,2019/10/17,1796.48999,1000.79987
500.03012,,,2019/10/18,1787.800049,995.5502
537.65466,,,2019/10/21,1769.660034,989.4878
556.25214,,,2019/10/22,1788.150024,984.1075
557.4042,,,2019/10/23,1761.300049,980.22
545.07355,,,2019/10/24,1771.089966,977.3098
523.9074,,,2019/10/25,1697.550049,974.4128
498.1776,,,2019/10/28,1748.060059,972.6303
471.4433,,,2019/10/29,1774.810059,973.95135
446.3599,,,2019/10/30,1760.23999,979.3563
424.17752,,,2019/10/31,1775.98999,986.9843
405.30753,,,,,
389.4151,,,,,
376.15555,,,,,
365.13452,,,,,
355.78894,,,,,
348.10236,,,,,
342.0551,,,,,
337.41617,,,,,
334.09576,,,,,
331.82104,,,,,
329.99927,,,,,
328.462,,,,,
326.98203,,,,,
325.61008,,,,,
324.6511,,,,,
324.27533,,,,,
324.39493,,,,,
324.8974,,,,,
325.69894,,,,,
326.72675,,,,,
327.88928,,,,,
328.8501,,,,,
329.16565,,,,,
328.47498,,,,,
326.87732,,,,,
324.79102,,,,,
322.54413,,,,,
320.3986,,,,,
318.3616,,,,,
316.50668,,,,,
314.67856,,,,,
313.01465,,,,,
311.62115,,,,,
310.91843,,,,,
311.44333,,,,,
313.4486,,,,,
316.48874,,,,,
319.96515,,,,,
323.12192,,,,,
326.91705,,,,,
332.24582,,,,,
339.4722,,,,,
347.97382,,,,,
356.8616,,,,,
365.47888,,,,,
373.03467,,,,,
378.8888,,,,,
382.744,,,,,
384.8222,,,,,
385.69678,,,,,
385.8967,,,,,
385.65002,,,,,
385.08926,,,,,
384.55902,,,,,
384.53183,,,,,
385.05276,,,,,
385.88965,,,,,
387.05115,,,,,
388.52713,,,,,
390.08246,,,,,
391.58813,,,,,
393.03326,,,,,
394.39655,,,,,
395.62332,,,,,
396.37485,,,,,
396.40887,,,,,
395.48203,,,,,
393.59418,,,,,
391.15796,,,,,
388.6621,,,,,
386.54132,,,,,
385.0166,,,,,
384.28308,,,,,
384.4515,,,,,
385.48306,,,,,
386.97977,,,,,
388.53708,,,,,
389.6442,,,,,
389.91876,,,,,
389.4896,,,,,
388.7401,,,,,
387.97446,,,,,
387.30603,,,,,
386.7447,,,,,
386.51102,,,,,
386.68274,,,,,
387.4183,,,,,
388.8483,,,,,
390.82864,,,,,
393.0286,,,,,
395.13266,,,,,
396.8565,,,,,
397.99252,,,,,
398.32886,,,,,
398.35828,,,,,
398.60703,,,,,
399.24414,,,,,
402.1307,,,,,
408.47565,,,,,
417.65842,,,,,
427.4774,,,,,
435.81064,,,,,
441.28082,,,,,
443.59363,,,,,
443.1866,,,,,
440.87613,,,,,
437.72552,,,,,
434.9324,,,,,
433.33447,,,,,
433.12836,,,,,
434.0161,,,,,
435.49606,,,,,
