196.73792,,,,,,
161.54352,,,,date,real,predict
129.18983,,,,2019/10/4,179.550003,162.82434
102.84032,,,,2019/10/7,180,163.478
85.000656,,,,2019/10/8,178.259995,165.10825
76.275764,,,,2019/10/9,179.160004,166.31226
75.158516,,,,2019/10/10,180.320007,166.79
78.51959,,,,2019/10/11,182.149994,166.94727
83.04081,,,,2019/10/14,184.199997,167.4061
86.63473,,,,2019/10/15,183.800003,171.1815
88.52991,,,,2019/10/16,188.320007,173.36293
88.90301,,,,2019/10/17,190.300003,174.10153
88.19946,,,,2019/10/18,190.229996,173.35773
86.84216,,,,2019/10/21,187.039993,172.5382
85.089355,,,,2019/10/22,190,171.9466
83.341064,,,,2019/10/23,182.009995,171.65215
81.75792,,,,2019/10/24,184.619995,172.04546
80.44426,,,,2019/10/25,185.830002,173.44543
79.52559,,,,2019/10/28,187.199997,174.06593
79.156395,,,,2019/10/29,191.690002,173.85292
79.18807,,,,2019/10/30,189.559998,172.67181
79.17894,,,,2019/10/31,196.699997,172.36058
78.90787,,,,,,
78.35326,,,,,,
77.7309,,,,,,
77.2475,,,,,,
76.882126,,,,,,
76.7124,,,,,,
76.723045,,,,,,
76.88936,,,,,,
77.25193,,,,,,
77.52659,,,,,,
77.4501,,,,,,
77.21024,,,,,,
77.1771,,,,,,
77.57597,,,,,,
78.485756,,,,,,
79.5685,,,,,,
80.46987,,,,,,
80.96942,,,,,,
81.01421,,,,,,
80.71264,,,,,,
80.172226,,,,,,
79.506966,,,,,,
78.80125,,,,,,
78.12881,,,,,,
77.57774,,,,,,
77.340576,,,,,,
77.40755,,,,,,
77.59544,,,,,,
77.68736,,,,,,
77.6196,,,,,,
77.23448,,,,,,
76.74028,,,,,,
76.385796,,,,,,
76.34994,,,,,,
76.64338,,,,,,
77.14843,,,,,,
77.57016,,,,,,
77.772415,,,,,,
77.766685,,,,,,
77.7408,,,,,,
77.6206,,,,,,
77.29745,,,,,,
76.81299,,,,,,
76.35346,,,,,,
76.04288,,,,,,
75.76207,,,,,,
75.52198,,,,,,
75.38155,,,,,,
75.509705,,,,,,
75.86005,,,,,,
76.17682,,,,,,
76.37107,,,,,,
76.54473,,,,,,
76.98183,,,,,,
77.72887,,,,,,
78.45524,,,,,,
78.91691,,,,,,
79.20112,,,,,,
79.48205,,,,,,
79.641525,,,,,,
79.67517,,,,,,
79.60633,,,,,,
79.6702,,,,,,
79.905754,,,,,,
80.106,,,,,,
80.046074,,,,,,
79.67056,,,,,,
79.14938,,,,,,
78.720764,,,,,,
78.44084,,,,,,
78.32997,,,,,,
78.44004,,,,,,
78.89786,,,,,,
79.83309,,,,,,
81.102005,,,,,,
82.44952,,,,,,
83.67413,,,,,,
84.31727,,,,,,
84.36808,,,,,,
84.105774,,,,,,
83.69633,,,,,,
83.23652,,,,,,
82.79919,,,,,,
82.31148,,,,,,
81.98691,,,,,,
81.93083,,,,,,
82.0808,,,,,,
82.289246,,,,,,
82.428894,,,,,,
82.591095,,,,,,
82.85219,,,,,,
83.066765,,,,,,
83.046875,,,,,,
82.80535,,,,,,
82.71309,,,,,,
82.94499,,,,,,
83.3854,,,,,,
83.70454,,,,,,
83.67349,,,,,,
83.33811,,,,,,
82.70281,,,,,,
81.92633,,,,,,
81.14058,,,,,,
80.484955,,,,,,
79.969795,,,,,,
79.5408,,,,,,
79.193695,,,,,,
79.04867,,,,,,
79.06285,,,,,,
79.088715,,,,,,
79.03719,,,,,,
79.02347,,,,,,
79.33783,,,,,,
79.87079,,,,,,
80.48549,,,,,,
80.95975,,,,,,
81.16196,,,,,,
81.131226,,,,,,
80.98209,,,,,,
80.73438,,,,,,
80.49959,,,,,,
80.32337,,,,,,
80.15197,,,,,,
80.0151,,,,,,
80.093666,,,,,,
80.479004,,,,,,
81.0299,,,,,,
81.54862,,,,,,
81.7915,,,,,,
81.74871,,,,,,
81.6854,,,,,,
81.65131,,,,,,
81.54862,,,,,,
81.38508,,,,,,
81.308014,,,,,,
81.359604,,,,,,
81.61418,,,,,,
82.073456,,,,,,
82.772934,,,,,,
83.86185,,,,,,
85.33532,,,,,,
