artists_id,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness,duration_ms
[492521],0.329,0.171,0.334,168.63099999999997,-11.107,0.8079999999999999,0.0,0.182,0.0307,174785
[83013],0.67,0.584,0.944,98.185,-8.325,0.439,0.00614,0.17800000000000002,0.034,179227
[128143],0.845,0.601,0.329,74.008,-5.283,0.0205,0.0,0.385,0.161,242013
[171015],0.407,0.424,0.118,102.176,-16.015,0.774,0.943,0.14800000000000002,0.0272,424133
[988386],0.392,0.334,0.594,119.758,-21.256,0.848,0.006490000000000001,0.222,0.035,264960
[414506],0.609,0.851,0.741,142.655,-5.738,0.104,0.0,0.181,0.0409,298107
[100160],0.6579999999999999,0.81,0.737,120.553,-9.483,0.112,1.2e-06,0.145,0.0454,222760
[172167],0.502,0.194,0.14800000000000002,144.94,-15.384,0.304,0.0162,0.114,0.0292,223493
[327765],0.142,0.0784,0.0654,85.20200000000001,-18.375,0.911,0.906,0.0933,0.0365,181293
[961234],0.606,0.531,0.627,102.629,-9.954,0.106,0.000431,0.0993,0.0337,371040
[938798],0.328,0.63,0.423,169.84799999999996,-9.991,0.467,9.72e-05,0.539,0.0311,269000
[317865],0.705,0.805,0.8859999999999999,120.021,-4.884,0.134,0.000152,0.3670000000000001,0.0593,223493
[796741],0.541,0.203,0.563,104.934,-14.344,0.833,5.83e-05,0.0481,0.0289,163040
"[840402, 868306]",0.201,0.773,0.239,145.018,-10.193,0.309,0.7440000000000001,0.0987,0.064,433573
[772567],0.472,0.526,0.7709999999999999,119.44,-9.505,0.0029100000000000003,0.000173,0.181,0.0309,173987
[897322],0.39,0.868,0.933,145.539,-8.955,0.00202,2.52e-05,0.152,0.0691,151520
[918682],0.374,0.631,0.889,163.67,-13.825,0.0263,0.767,0.0853,0.057,120000
[100160],0.511,0.672,0.6679999999999999,153.47299999999996,-11.042,0.06,0.0,0.247,0.0722,222147
[745964],0.376,0.755,0.7929999999999999,113.857,-10.265999999999998,0.062,0.8690000000000001,0.057,0.0327,419093
[83013],0.7020000000000001,0.514,0.8370000000000001,108.382,-15.203,0.0525,0.0008550000000000001,0.261,0.0287,151467
[147245],0.633,0.173,0.471,128.97799999999998,-17.192999999999998,0.8959999999999999,0.466,0.0624,0.0393,274560
[12472],0.402,0.415,0.636,154.72299999999996,-12.834,0.332,0.0008380000000000001,0.145,0.0289,251960
[359613],0.722,0.586,0.777,133.358,-15.372,0.078,0.0008029999999999999,0.13699999999999998,0.0506,307386
[882431],0.32299999999999995,0.921,0.308,115.548,-7.393,0.00354,0.469,0.205,0.0758,381480
[240865],0.615,0.459,0.569,127.687,-10.989,0.0587,6.759999999999999e-05,0.102,0.0494,300267
[490004],0.353,0.974,0.923,188.433,-2.191,0.006509999999999999,7.42e-06,0.277,0.0467,133520
[398615],0.649,0.341,0.457,134.497,-10.018,0.797,0.304,0.0695,0.0432,393840
[238115],0.647,0.52,0.885,136.806,-9.1,0.698,0.0,0.0688,0.0352,157427
[811622],0.618,0.501,0.509,179.615,-12.861,0.718,0.0,0.257,0.16699999999999998,107267
[753056],0.522,0.8809999999999999,0.369,130.084,-5.231,0.00303,0.000147,0.0939,0.0847,232200
[13384],0.619,0.507,0.6940000000000001,77.995,-7.677,0.71,0.0,0.258,0.0335,175200
[424296],0.5539999999999999,0.629,0.916,133.585,-9.162,0.439,0.0,0.151,0.0619,139587
[239859],0.397,0.0211,0.502,93.563,-27.023000000000003,0.962,0.0645,0.269,0.0363,121027
[487186],0.157,0.5,0.359,224.437,-14.337,0.0841,0.688,0.223,0.0464,229840
[855423],0.65,0.605,0.885,138.80100000000002,-10.630999999999998,0.545,0.00809,0.0536,0.0319,177933
[667794],0.616,0.32299999999999995,0.67,87.861,-12.569,0.894,0.00209,0.115,0.0335,173307
[185440],0.467,0.09,0.138,92.284,-20.992,0.974,0.916,0.0573,0.0652,200827
[376422],0.16399999999999998,0.792,0.314,172.737,-4.2810000000000015,0.0522,0.00155,0.0435,0.0459,360680
[3595],0.277,0.228,0.1,62.511,-9.762,0.773,0.0031100000000000004,0.0935,0.0319,256507
[131627],0.69,0.3670000000000001,0.324,136.945,-14.697,0.036000000000000004,0.0,0.0774,0.0368,239507
[817754],0.7959999999999999,0.48,0.6809999999999999,116.564,-14.012,0.0111,0.000869,0.111,0.152,128107
[325727],0.6629999999999999,0.471,0.762,139.759,-4.518,0.527,0.0,0.329,0.0349,212902
[597094],0.25,0.794,0.545,111.417,-10.470999999999998,0.00117,0.048,0.336,0.0454,270787
[934367],0.392,0.965,0.298,167.09400000000005,-4.441,6.97e-05,0.0427,0.106,0.063,200547
[175553],0.423,0.494,0.526,172.715,-14.248,0.6679999999999999,0.0753,0.103,0.0629,145440
[861757],0.57,0.404,0.312,125.201,-13.761,0.501,0.6679999999999999,0.104,0.0361,209400
[216348],0.33,0.366,0.5720000000000001,80.436,-12.827,0.7340000000000001,5.3799999999999986e-05,0.206,0.0366,159520
[845468],0.627,0.156,0.485,95.03,-18.489,0.775,0.000729,0.187,0.0324,256000
[192382],0.5820000000000001,0.5429999999999999,0.421,126.99,-13.045,0.14,0.00149,0.115,0.0351,348640
[597309],0.747,0.6940000000000001,0.539,122.441,-7.8370000000000015,0.0527,0.0393,0.0868,0.044,220040
[355142],0.436,0.8759999999999999,0.512,157.04399999999995,-4.902,3.33e-05,0.000104,0.205,0.0647,255080
[182598],0.329,0.8059999999999999,0.619,142.625,-11.925,0.0565,0.21,0.355,0.0596,181760
[792507],0.229,0.0682,0.284,76.173,-18.195,0.942,0.000145,0.337,0.0342,161000
[458887],0.4,0.552,0.171,129.501,-6.794,0.0413,0.0,0.135,0.0281,240373
[541125],0.48,0.235,0.295,113.33,-12.636,0.172,4.56e-06,0.234,0.0318,164173
[2873356],0.664,0.573,0.5660000000000001,76.023,-6.519,0.613,0.000363,0.0857,0.0277,160097
[5501],0.369,0.933,0.521,146.81,-2.853,6.829999999999999e-05,0.398,0.528,0.0349,193627
[600069],0.765,0.174,0.35700000000000004,100.958,-16.402,0.871,2.71e-05,0.14300000000000002,0.0388,141600
[41874],0.16899999999999998,0.428,0.297,203.585,-8.368,0.7020000000000001,0.00064,0.163,0.0299,170083
[163229],0.318,0.563,0.264,135.273,-10.640999999999998,0.00433,0.0743,0.192,0.031,81267
[631774],0.449,0.487,0.495,92.343,-13.794,0.389,0.868,0.545,0.0289,162160
[1528100],0.885,0.8009999999999999,0.466,95.011,-4.716,0.225,1.65e-06,0.0733,0.0882,192376
[325357],0.421,0.98,0.435,165.19299999999996,-4.229,8.39e-05,0.00125,0.237,0.212,170253
[175579],0.5870000000000001,0.978,0.35,116.97,-4.16,0.0016,0.00701,0.182,0.0759,282147
[69153],0.545,0.0704,0.68,91.013,-14.02,0.971,0.00202,0.161,0.0347,119360
[34249],0.573,0.5329999999999999,0.877,126.848,-15.646,0.0523,0.0,0.092,0.0403,183107
[28772],0.6709999999999999,0.4970000000000001,0.564,105.117,-12.53,0.484,0.0027,0.0893,0.0289,192600
[536754],0.496,0.272,0.175,114.02,-10.95,0.904,0.0,0.108,0.0317,187067
[936206],0.48,0.797,0.438,92.849,-4.5280000000000005,0.204,0.0,0.067,0.0567,218720
[59293],0.545,0.752,0.7090000000000001,121.766,-6.816,0.614,0.0,0.147,0.0421,229107
[200791],0.861,0.344,0.889,93.969,-17.029,0.0883,0.0337,0.102,0.0614,177640
"[410219, 944310]",0.546,0.235,0.348,132.487,-13.327,0.545,0.0,0.153,0.0357,193000
[467203],0.789,0.748,0.235,98.9,-4.998,0.0007769999999999999,0.479,0.304,0.0521,242027
[517796],0.5,0.8740000000000001,0.945,155.534,-9.58,0.0553,0.0,0.099,0.0352,124826
